id met_endotherm_vertebrate met_invertebrate met_ectotherm_vertebrate met_primary_producer met_heterotrophic_fungi met_detritus mov_walking mov_flying mov_other mov_other_nonliving log_mass mass_missing
0 0 1 0 0 0 0 1 0 0 0 -3.062482107982653 0
1 1 0 0 0 0 0 0 1 0 0 1.7363965022766423 0
2 1 0 0 0 0 0 0 1 0 0 0.9030899869919435 0
3 0 1 0 0 0 0 1 0 0 0 -2.221848749616356 0
4 0 0 1 0 0 0 1 0 0 0 2.0 0
5 0 1 0 0 0 0 0 1 0 0 -0.3983699036463729 0
6 1 0 0 0 0 0 1 0 0 0 3.4097188592101 0
7 0 1 0 0 0 0 0 1 0 0 -2.63825063861545 0
8 0 1 0 0 0 0 1 0 0 0 -2.0969100130080562 0
9 0 0 0 1 0 0 0 0 1 0 -6.085656842880559 0
10 0 1 0 0 0 0 1 0 0 0 -3.1870866433571443 0
11 0 1 0 0 0 0 1 0 0 0 -3.1268189529679047 0
12 0 1 0 0 0 0 1 0 0 0 -2.4881166390211256 0
13 0 1 0 0 0 0 1 0 0 0 -0.23038205503436304 0
14 0 1 0 0 0 0 1 0 0 0 -2.4881166390211256 0
15 0 1 0 0 0 0 1 0 0 0 -3.3979400086720375 0
16 0 1 0 0 0 0 1 0 0 0 -2.0457574905606752 0
17 0 1 0 0 0 0 1 0 0 0 -2.5228787452803374 0
18 0 1 0 0 0 0 1 0 0 0 -4.441291429466834 0
19 0 1 0 0 0 0 1 0 0 0 -1.4939056037762488 0
20 0 1 0 0 0 0 0 1 0 0 -2.7768304866222975 0
21 0 1 0 0 0 0 1 0 0 0 -2.4881166390211256 0
22 0 1 0 0 0 0 0 1 0 0 -2.7768304866222975 0
23 0 1 0 0 0 0 1 0 0 0 -2.170696227168975 0
24 0 1 0 0 0 0 1 0 0 0 -0.5068187392400874 0
25 1 0 0 0 0 0 0 1 0 0 3.5440680443502757 0
26 0 1 0 0 0 0 1 0 0 0 -0.10382379456727471 0
27 0 1 0 0 0 0 0 1 0 0 0.8343156665570426 0
28 0 1 0 0 0 0 1 0 0 0 -2.2924298239020637 0
29 0 1 0 0 0 0 1 0 0 0 -2.0969100130080562 0
30 0 1 0 0 0 0 1 0 0 0 -2.4559319556497243 0
31 0 1 0 0 0 0 1 0 0 0 -2.1870866433571443 0
32 0 1 0 0 0 0 1 0 0 0 -2.807307684044708 0
33 0 1 0 0 0 0 1 0 0 0 -2.408935392973501 0
34 0 0 0 0 0 1 0 0 0 1 -6.085656842880559 1
35 0 0 0 0 1 0 0 0 1 0 0.6495731382345351 0
36 0 1 0 0 0 0 1 0 0 0 -2.769551078621726 0
37 0 1 0 0 0 0 1 0 0 0 0.12994094847130755 0
38 0 1 0 0 0 0 0 1 0 0 -2.4881166390211256 0
39 0 1 0 0 0 0 1 0 0 0 -1.322393047279507 0
40 0 1 0 0 0 0 1 0 0 0 -1.0771781880950486 0
41 0 1 0 0 0 0 0 1 0 0 -0.8286341370265389 0
42 0 1 0 0 0 0 0 1 0 0 -1.5962606297504367 0
43 0 1 0 0 0 0 1 0 0 0 -2.0 0
44 1 0 0 0 0 0 0 1 0 0 2.380211241711606 0
45 0 1 0 0 0 0 1 0 0 0 -1.7891895584639559 0
46 0 1 0 0 0 0 0 1 0 0 0.13459425078274165 0
47 0 1 0 0 0 0 0 1 0 0 0.7432389481836468 0
48 0 1 0 0 0 0 1 0 0 0 -2.3736596326249577 0
49 0 1 0 0 0 0 1 0 0 0 -2.7271782734307415 0
50 0 0 0 1 0 0 0 0 1 0 -1.2370797087921401 0
51 0 1 0 0 0 0 1 0 0 0 -2.3010299956639813 0
52 0 1 0 0 0 0 1 0 0 0 -3.1191412662968205 0
53 0 1 0 0 0 0 1 0 0 0 -3.0996328713435295 0
