id met_invertebrate met_detritus met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 1 0 0 1 0 0 -4.396855627379818 0
1 1 0 0 1 0 0 -2.1694113313148558 0
2 0 0 1 0 0 1 -9.290730039024169 0
3 1 0 0 1 0 0 -4.995678626217358 0
4 1 0 0 1 0 0 -4.841637507904751 0
5 1 0 0 1 0 0 -4.166215625343521 0
6 1 0 0 1 0 0 -5.809668301829708 0
7 1 0 0 1 0 0 -5.661543506395395 0
8 0 0 1 0 0 1 -10.03905380426617 0
9 0 0 1 0 0 1 -10.323306390375134 0
10 1 0 0 1 0 0 -5.73754891026957 0
11 1 0 0 1 0 0 -4.396855627379818 0
12 1 0 0 1 0 0 -8.0 0
13 1 0 0 1 0 0 -7.129011186239425 0
14 1 0 0 1 0 0 -2.7417564900754847 0
15 0 0 1 0 0 1 -10.323306390375134 0
16 0 0 1 0 0 1 -8.866461091629782 0
17 0 0 1 0 0 1 -8.247951552180561 0
18 0 0 1 0 0 1 -10.61798295742513 0
19 0 0 1 0 0 1 -9.045275209020938 0
20 0 0 1 0 0 1 -7.064996848546345 0
21 0 0 1 0 0 1 -9.19586056766465 0
22 0 0 1 0 0 1 -8.410050398674292 0
23 0 0 1 0 0 1 -8.97061622231479 0
24 0 0 1 0 0 1 -7.590066876668706 0
25 0 1 0 0 1 0 -10.61798295742513 1
