id met_endotherm_vertebrate met_invertebrate met_ectotherm_vertebrate met_primary_producer met_detritus mov_flying mov_walking mov_other mov_swimming mov_sessile mov_other_nonliving log_mass mass_missing
0 0 0 1 0 0 0 0 0 1 0 0 1.43037940028983 0
1 1 0 0 0 0 1 0 0 0 0 0 3.118595365223762 0
2 1 0 0 0 0 1 0 0 0 0 0 3.380211241711606 0
3 1 0 0 0 0 1 0 0 0 0 0 2.94126290931895 0
4 1 0 0 0 0 1 0 0 0 0 0 2.531478917042255 0
5 1 0 0 0 0 1 0 0 0 0 0 2.56702636615906 0
6 1 0 0 0 0 1 0 0 0 0 0 3.0172420845476458 0
7 1 0 0 0 0 1 0 0 0 0 0 2.939319531078238 0
8 0 0 1 0 0 0 0 0 1 0 0 1.5486118243770215 0
9 1 0 0 0 0 1 0 0 0 0 0 3.3530502396425894 0
10 1 0 0 0 0 1 0 0 0 0 0 2.6190933306267428 0
11 0 1 0 0 0 0 0 1 0 0 0 -1.891898732598686 0
12 0 0 1 0 0 0 0 0 1 0 0 -0.4709687022165413 0
13 0 0 1 0 0 0 0 0 1 0 0 -0.2966939335163623 0
14 0 0 1 0 0 0 0 0 1 0 0 1.2881433315788318 0
15 0 0 1 0 0 0 0 0 1 0 0 1.3918040126304112 0
16 0 0 1 0 0 0 0 0 1 0 0 1.45587975965385 0
17 0 1 0 0 0 0 0 0 1 1 0 1.3549359523992033 0
18 0 1 0 0 0 0 0 0 1 1 0 1.586885862071871 0
19 0 1 0 0 0 0 0 0 1 1 0 2.117720998602117 0
20 0 1 0 0 0 0 0 0 1 0 0 -2.1334072849746972 0
21 1 0 0 0 0 1 0 0 0 0 0 1.6444385894678386 0
22 1 0 0 0 0 1 0 0 0 0 0 2.8920946026904804 0
23 1 0 0 0 0 1 0 0 0 0 0 2.5289167002776547 0
24 1 0 0 0 0 1 0 0 0 0 0 2.5550944485783194 0
25 1 0 0 0 0 1 0 0 0 0 0 2.561101383649056 0
26 1 0 0 0 0 1 0 0 0 0 0 3.0742677425533578 0
27 1 0 0 0 0 1 0 0 0 0 0 2.603144372620182 0
28 1 0 0 0 0 1 0 0 0 0 0 1.3838153659804313 0
29 0 1 0 0 0 0 1 0 0 0 0 0.06762915901337226 0
30 1 0 0 0 0 1 0 0 0 0 0 2.019116290447073 0
31 1 0 0 0 0 1 0 0 0 0 0 2.7481880270062002 0
32 0 1 0 0 0 0 1 0 0 0 0 0.9186617131455531 0
33 1 0 0 0 0 1 0 0 0 0 0 2.5563025007672873 0
34 0 1 0 0 0 1 0 0 1 0 0 -2.6020599913279625 0
35 1 0 0 0 0 1 0 0 0 0 0 2.4313637641589874 0
36 1 0 0 0 0 1 0 0 0 0 0 2.483301952358167 0
37 1 0 0 0 0 1 0 0 0 0 0 2.2174839442139063 0
38 1 0 0 0 0 0 1 0 0 0 0 3.778151250383644 0
39 0 1 0 0 0 0 0 0 1 0 0 -2.6947647445991274 0
